ides,idmun,temp,prec,Value
14,8,28.31,0.0,148
14,9,32.129999999999995,0.0,172
14,10,25.93,0.0,16
14,11,27.445,0.0,879
14,12,26.875,0.0,730
14,13,30.58,0.0,467
14,14,28.955,0.0,660
14,15,25.314999999999998,0.0,600
14,16,30.455,0.0,219
14,17,25.52,0.0,675
14,18,31.155,0.0,956
14,19,30.3,0.0,850
14,20,29.45,0.0,292
14,21,29.805,0.0,437
14,22,33.185,0.0,886
14,23,25.825,0.0,99
14,24,29.604999999999997,0.0,434
14,25,29.65,0.0,453
14,26,30.335,0.0,837
14,27,28.03,0.0,56
14,28,26.09,0.0,340
14,29,29.68,0.0,556
14,30,28.29,0.0,195
14,31,30.465,0.0,307
14,32,25.735,0.0,670
14,33,30.335,0.0,14
14,34,26.58,0.0,68
14,35,29.7,0.0,764
14,36,30.86,0.0,58
14,37,25.38,0.0,130
14,38,30.04,0.0,767
14,39,30.575000000000003,0.0,577
14,40,32.489999999999995,0.0,925
14,41,28.405,0.0,212
14,42,29.65,0.0,442
14,43,32.555,0.0,690
14,44,29.085,0.0,843
14,45,30.63,0.0,604
14,46,30.315,0.0,216
14,47,28.439999999999998,0.0,227
14,48,28.92,0.0,720
14,49,37.095,0.0,754
14,50,30.215,0.0,166
14,51,30.735,0.0,66
14,52,27.085,0.0,618
14,53,28.490000000000002,0.0,117
14,54,26.365000000000002,0.0,924
14,55,32.0,0.0,378
14,56,35.385,0.0,301
14,57,30.17,0.0,650
14,58,28.134999999999998,0.0,489
14,59,30.915,0.0,593
14,60,30.17,0.0,318
14,61,29.67,0.0,208
14,62,28.3,0.0,20
14,63,29.4,0.0,683
14,64,26.53,0.0,218
14,65,33.63,0.0,720
14,66,28.32,0.0,136
14,67,29.365000000000002,0.0,687
14,68,31.185000000000002,0.0,863
14,69,31.515,0.0,688
14,70,30.97,0.0,992
14,71,31.025,0.0,685
14,72,29.494999999999997,0.0,361
14,73,30.36,0.0,38
14,74,29.075000000000003,0.0,658
14,75,31.08,0.0,124
14,76,30.67,0.0,462
14,77,30.795,0.0,507
14,78,28.795,0.0,18
14,79,29.62,0.0,306
14,80,30.35,0.0,273
14,81,29.03,0.0,53
14,82,25.66,0.0,308
14,83,32.075,0.0,382
14,84,30.145,0.0,858
14,85,31.345,0.0,595
14,86,23.825,0.0,43
14,87,32.2,0.0,829
14,88,27.865000000000002,0.0,684
14,89,27.78,0.0,529
14,90,26.965,0.0,373
14,91,30.83,0.0,261
14,92,29.57,0.0,313
14,93,29.375,0.0,358
14,94,31.305,0.0,312
14,95,32.02,0.0,47
14,96,29.520000000000003,0.0,537
14,97,30.785,0.0,942
14,98,30.744999999999997,0.0,239
14,99,22.845,0.0,276
14,100,32.28,0.0,530
14,101,30.939999999999998,0.0,35
14,102,26.44,0.0,886
14,103,27.505000000000003,0.0,134
14,104,30.145000000000003,0.0,823
14,105,31.0,0.0,582
14,106,24.48,0.0,331
14,107,29.130000000000003,0.0,716
14,108,27.9,0.0,911
14,109,29.975,0.0,570
14,110,25.98,0.0,913
14,111,29.505000000000003,0.0,670
14,112,31.240000000000002,0.0,491
14,113,23.244999999999997,0.0,94
14,114,30.265,0.0,75
14,115,30.369999999999997,0.0,151
14,116,30.795,0.0,796
14,117,30.065,0.0,402
14,118,29.55,0.0,158
14,119,29.27,0.0,591
14,120,31.02,0.0,880
14,121,29.055,0.0,199
14,122,30.52,0.0,273
14,123,30.555,0.0,537
14,124,30.84,0.0,449
14,125,28.310000000000002,0.0,127
15,1,23.39,0.0,408
15,2,27.265,0.0,365
15,3,24.965,0.0,982
15,4,22.655,0.0,14
15,5,21.39,0.0,400
15,6,23.25,0.0,240
15,7,17.03,0.0,708
15,8,32.955,0.0,202
15,9,22.22,0.0,853
15,10,26.59,0.0,917
15,11,26.705,0.02,383
15,12,22.95,0.0,532
15,13,25.115000000000002,0.0,915
15,14,22.095,0.0,739
15,15,23.4,0.0,664
15,16,25.92,0.02,781
15,17,22.305,0.0,773
15,18,21.880000000000003,0.0,475
15,19,22.575,0.0,392
15,20,27.495,0.0,646
15,21,24.799999999999997,0.0,974
15,22,19.445,0.005,300
15,23,26.240000000000002,0.0,345
15,24,26.340000000000003,0.0,702
15,25,19.125,0.015,394
15,26,21.205,0.0,548
15,27,19.16,0.0,95
15,28,27.145,0.03,825
15,29,22.685000000000002,0.0,671
15,30,27.12,0.03,314
15,31,25.405,0.0,545
15,32,21.11,0.0,618
15,33,28.11,0.01,813
15,34,20.4,0.0,921
15,35,26.11,0.0,50
15,36,26.33,0.0,823
15,37,21.29,0.0,68
15,38,22.445,0.0,529
15,39,19.89,0.04,171
15,40,22.235,0.0,470
15,41,24.715,0.0,586
15,42,22.0,0.0,283
15,43,21.225,0.0,716
15,44,26.89,0.0,521
15,45,24.18,0.0,262
15,46,19.295,0.0,38
15,47,16.59,0.0,69
15,48,21.42,0.0,102
15,49,24.285,0.0,60
15,50,22.450000000000003,0.0,788
15,51,21.84,0.0,755
15,52,25.490000000000002,0.0,538
15,53,26.6,0.0,289
15,54,19.29,0.0,642
15,55,18.5,0.0,389
15,56,18.935000000000002,0.0,293
15,57,23.83,0.0,807
15,58,26.59,0.005,196
15,59,27.33,0.0,287
15,60,20.335,0.0,16
15,61,25.990000000000002,0.005,481
15,62,20.29,0.0,717
15,63,22.615,0.0,543
15,64,22.295,0.0,926
15,65,25.725,0.034999999999999996,537
15,66,29.560000000000002,0.0,134
15,67,21.59,0.0,284
15,68,23.455,0.0,141
15,69,26.79,0.04,320
15,70,23.845,0.0,546
15,71,26.16,0.0,117
15,72,22.82,0.0,668
15,73,22.95,0.0,838
15,74,24.78,0.0,282
15,75,26.47,0.02,906
15,76,19.445,0.0,581
15,77,21.175,0.0,420
15,78,27.009999999999998,0.0,785
15,79,25.455,0.0,275
15,80,27.32,0.0,494
15,81,27.450000000000003,0.005,600
15,82,28.905,0.0,670
15,83,19.515,0.0,143
15,84,26.68,0.005,64
15,85,23.085,0.0,127
15,86,17.305,0.0,996
15,87,21.785,0.0,648
15,88,27.174999999999997,0.0,143
15,89,20.89,0.0,839
15,90,23.27,0.0,711
15,91,26.38,0.0,419
15,92,26.795,0.025,479
15,93,24.765,0.07,980
15,94,21.555,0.0,693
15,95,24.07,0.0,610
15,96,26.67,0.0,600
15,97,20.125,0.0,304
15,98,19.384999999999998,0.0,834
15,99,24.08,0.065,872
15,100,27.45,0.025,205
15,101,22.525,0.0,660
15,102,21.83,0.0,907
15,103,15.745000000000001,0.01,358
15,104,27.325,0.0,88
15,105,35.74,0.0,235
15,106,21.310000000000002,0.0,970
15,107,30.77,0.0,138
15,108,26.905,0.0,773
15,109,27.08,0.0,212
15,110,20.9,0.0,971
15,111,22.52,0.0,637
15,112,20.740000000000002,0.0,416
15,113,24.115000000000002,0.0,306
15,114,25.884999999999998,0.0,410
15,115,21.945,0.0,518
15,116,27.27,0.0,639
15,117,26.08,0.0,975
15,118,21.035,0.0,36
15,119,28.42,0.0,17
15,120,26.814999999999998,0.0,757
15,121,25.950000000000003,0.0,924
15,122,23.09,0.0,111
15,123,32.905,0.0,613
15,124,22.945,0.0,867
15,125,27.655,0.0,574
16,1,25.865000000000002,0.0,960
16,2,35.394999999999996,0.0,442
16,3,27.285,0.0,367
16,4,29.7,0.0,610
16,5,19.025,0.0,827
16,6,39.035,0.0,365
16,7,20.68,0.0,124
16,8,30.85,0.0,123
16,9,30.945,0.0,161
16,10,34.265,0.0,502
16,11,30.765,0.0,280
16,12,39.04,0.0,443
16,13,37.405,0.0,750
16,14,33.625,0.0,532
16,15,32.25,0.0,534
16,16,25.740000000000002,0.0,686
16,17,22.755,0.0,851
16,18,28.14,0.0,212
16,19,31.6,0.0,211
16,20,28.560000000000002,0.0,457
16,21,26.15,0.0,833
16,22,26.645000000000003,0.0,759
16,23,32.144999999999996,0.0,393
16,24,25.085,0.0,511
16,25,26.35,0.0,904
16,26,34.16,0.0,638
16,27,27.655,0.0,830
16,28,30.665,0.0,483
16,29,37.730000000000004,0.0,569
16,30,31.825,0.0,985
16,31,24.335,0.0,964
16,32,24.244999999999997,0.0,208
16,33,35.825,0.0,858
16,34,24.240000000000002,0.0,847
16,35,38.705,0.0,919
16,36,28.57,0.0,689
16,37,27.0,0.0,970
16,38,40.14,0.0,878
16,39,24.225,0.0,407
16,40,25.33,0.0,699
16,41,21.695,0.0,267
16,42,32.335,0.0,415
16,43,30.365000000000002,0.0,215
16,44,27.305,0.0,434
16,45,31.09,0.0,555
16,46,29.82,0.0,534
16,47,25.759999999999998,0.0,216
16,48,25.045,0.0,77
16,49,29.34,0.0,645
16,50,23.205,0.0,416
16,51,30.165,0.0,155
16,52,31.295,0.0,299
16,53,26.490000000000002,0.0,463
16,54,27.770000000000003,0.0,222
16,55,40.05,0.0,714
16,56,24.6,0.0,490
16,57,34.81,0.0,357
16,58,28.03,0.0,892
16,59,33.095,0.0,975
16,60,30.83,0.0,124
16,61,19.51,0.0,299
16,62,32.025,0.0,634
16,63,28.6,0.0,394
16,64,38.835,0.0,362
16,65,25.05,0.0,800
16,66,24.255000000000003,0.0,157
16,67,29.815,0.0,506
16,68,31.89,0.0,876
16,69,31.055,0.0,810
16,70,27.365000000000002,0.0,48
16,71,29.065,0.0,590
16,72,24.59,0.0,598
16,73,25.34,0.0,641
16,74,29.615000000000002,0.0,249
16,75,29.145,0.0,648
16,76,30.565,0.0,462
16,77,41.269999999999996,0.0,403
16,78,29.130000000000003,0.0,304
16,79,26.08,0.0,661
16,80,20.439999999999998,0.0,449
16,81,29.94,0.0,467
16,82,28.3,0.0,742
16,83,32.535,0.0,808
16,84,30.755000000000003,0.0,581
16,85,28.759999999999998,0.0,665
16,86,32.254999999999995,0.0,19
16,87,29.355,0.0,111
16,88,27.3,0.0,288
16,89,37.834999999999994,0.0,651
16,90,24.585,0.0,858
16,91,30.105,0.0,316
16,92,36.115,0.0,169
16,93,20.8,0.0,225
16,94,29.490000000000002,0.0,281
16,95,32.620000000000005,0.0,742
16,96,33.71,0.0,846
16,97,35.42,0.0,414
16,98,22.42,0.0,897
16,99,32.965,0.0,802
16,100,24.549999999999997,0.0,846
16,101,28.955,0.0,234
16,102,27.84,0.0,787
16,103,30.049999999999997,0.0,522
16,104,31.695,0.0,717
16,105,32.455,0.0,852
16,106,31.695,0.0,507
16,107,25.955,0.0,560
16,108,31.534999999999997,0.0,514
16,109,30.619999999999997,0.0,694
16,110,24.895,0.0,627
16,111,26.7,0.0,566
16,112,22.384999999999998,0.0,240
16,113,30.740000000000002,0.0,31
17,1,34.825,0.0,178
17,2,25.41,0.0,11
17,3,34.644999999999996,0.0,518
17,4,34.36,0.0,45
17,5,33.16,0.0,184
17,6,31.85,0.0,909
17,7,29.14,0.0,181
17,8,35.785,0.0,933
17,9,23.509999999999998,0.0,997
17,10,32.14,0.0,907
17,11,33.345,0.0,465
17,12,36.614999999999995,0.0,601
17,13,31.875,0.0,302
17,14,34.765,0.0,857
17,15,32.465,0.0,108
17,16,24.34,0.0,320
17,17,36.135,0.0,961
17,18,32.165000000000006,0.0,360
17,19,34.465,0.0,391
17,20,30.64,0.0,648
17,21,33.595,0.0,408
17,22,21.285,0.0,459
17,23,27.314999999999998,0.0,180
17,24,36.455,0.0,570
17,25,36.705,0.0,907
17,26,29.445,0.0,661
17,27,25.26,0.0,16
17,28,36.675,0.0,980
17,29,33.49,0.0,363
17,30,27.855,0.0,807
17,31,37.01,0.0,888
17,32,26.91,0.0,514
